iter	Passed	Remaining
409	481	692
410	481	690
411	482	689
412	483	687
413	484	685
414	485	684
415	486	682
416	486	680
417	487	679
418	488	677
419	489	676
420	490	674
421	491	673
422	492	671
423	493	669
424	494	668
425	495	667
426	496	665
427	496	663
428	497	662
429	498	660
430	499	659
431	500	657
432	500	655
433	501	654
434	502	652
435	503	651
436	504	649
437	504	647
438	505	646
439	506	644
440	507	642
441	508	641
442	509	640
443	510	638
444	511	637
445	511	635
446	512	634
447	513	632
448	514	631
449	515	630
450	516	628
451	517	627
452	518	625
453	519	624
454	520	623
455	521	621
456	522	620
457	522	618
458	523	617
459	524	616
460	526	615
461	527	613
462	527	612
463	528	611
464	529	609
465	530	608
466	531	606
467	532	605
468	533	603
469	534	602
470	535	601
471	536	599
472	537	598
473	539	598
474	540	597
475	542	597
476	544	596
477	545	595
478	546	594
479	547	593
480	548	592
481	550	591
482	551	589
483	552	588
484	553	587
485	555	587
486	556	585
487	557	584
488	558	583
489	559	582
490	560	581
491	562	580
492	563	579
493	564	577
494	565	576
495	566	575
496	567	574
497	568	572
498	569	572
499	571	571
500	572	570
501	573	569
502	574	567
503	575	566
504	576	565
505	577	563
506	578	562
507	579	561
508	580	560
509	581	558
510	582	557
511	584	556
512	585	556
513	586	554
514	588	553
515	589	552
516	590	551
517	591	550
518	592	548
519	593	547
520	594	546
521	595	545
522	596	543
523	597	542
524	598	541
525	600	540
526	601	539
527	602	538
528	603	537
529	604	536
530	605	534
531	606	533
532	607	532
533	608	530
534	609	529
535	610	528
536	611	527
537	612	525
538	613	524
539	614	523
540	616	522
541	617	521
542	619	521
543	620	519
544	621	518
545	622	517
546	623	516
547	624	514
548	624	513
549	625	512
550	626	510
551	628	510
552	630	509
553	631	508
554	632	507
555	633	505
556	634	504
557	635	503
558	636	502
559	637	501
560	638	499
561	639	498
562	640	497
563	641	496
564	642	494
565	645	494
566	646	493
567	647	492
568	649	491
569	650	490
570	651	489
571	652	488
572	653	487
573	654	486
574	655	484
575	656	483
576	657	482
577	659	481
578	661	481
579	662	479
580	663	478
581	664	477
582	665	476
583	666	474
584	667	473
585	668	472
586	669	471
587	670	469
588	671	468
589	672	467
590	673	466
591	674	465
592	675	463
593	676	462
594	677	461
595	678	459
596	679	458
597	680	457
598	681	456
599	682	454
600	683	453
601	684	452
602	685	451
603	686	449
604	687	448
605	688	447
606	690	446
607	691	445
608	692	444
609	693	443
610	694	442
611	695	441
612	697	440
613	698	438
614	699	437
615	700	436
616	701	435
617	702	434
618	703	432
619	704	431
620	706	431
621	707	430
622	708	428
623	709	427
624	711	426
625	712	425
626	713	424
627	714	423
628	715	422
629	716	421
630	717	419
631	719	418
632	720	417
633	721	416
634	722	415
635	723	414
636	724	413
637	725	411
638	727	410
639	728	409
640	729	408
641	730	407
642	731	406
643	732	404
644	733	403
645	735	403
646	736	402
647	737	400
648	738	399
649	739	398
650	740	397
651	741	395
652	742	394
653	743	393
654	744	392
655	746	391
656	747	390
657	748	388
658	749	387
659	750	386
660	751	385
661	753	384
662	754	383
663	754	382
664	755	380
665	756	379
666	757	378
667	758	377
668	759	375
669	760	374
670	761	373
671	762	372
672	763	370
673	764	369
674	766	368
675	767	367
676	767	366
677	768	365
678	769	364
679	770	362
680	771	361
681	772	360
682	773	359
683	774	357
684	775	356
685	776	355
686	777	354
687	778	352
688	779	351
689	780	350
690	781	349
691	782	348
692	783	346
693	783	345
694	784	344
695	785	343
696	786	341
697	787	340
698	788	339
699	789	338
700	790	337
701	791	335
702	792	334
703	793	333
704	794	332
705	795	331
706	796	330
707	797	328
708	798	327
709	799	326
710	800	325
711	801	324
712	802	322
713	803	321
714	804	320
715	805	319
716	806	318
717	807	317
718	808	315
719	809	314
720	810	313
721	811	312
722	812	311
723	813	310
724	814	308
725	815	307
726	816	306
727	817	305
728	818	304
729	818	302
730	819	301
731	820	300
732	821	299
733	822	298
734	824	297
735	825	295
736	826	294
737	827	293
738	828	292
739	829	291
740	829	290
741	830	288
742	831	287
743	832	286
744	834	285
745	834	284
746	836	283
747	836	281
748	837	280
749	838	279
750	839	278
751	840	277
752	842	276
753	842	275
754	843	273
755	844	272
756	845	271
757	846	270
758	847	269
759	848	267
760	849	266
761	850	265
762	851	264
763	852	263
764	853	262
765	854	261
766	855	259
767	856	258
768	858	257
769	859	256
770	860	255
771	861	254
772	862	253
773	863	252
774	863	250
775	865	249
776	866	248
777	867	247
778	868	246
779	869	245
780	870	244
781	871	243
782	873	241
783	873	240
784	874	239
785	875	238
786	876	237
787	877	236
788	878	235
789	880	233
790	881	232
791	882	231
792	883	230
793	884	229
794	885	228
795	887	227
796	888	226
797	889	225
798	890	223
799	891	222
800	892	221
801	893	220
802	894	219
803	895	218
804	896	217
805	897	215
806	898	214
807	899	213
808	900	212
809	901	211
810	902	210
811	903	209
812	904	208
813	905	207
814	906	205
815	907	204
816	909	203
817	910	202
818	911	201
819	912	200
820	913	199
821	914	198
822	915	196
823	916	195
824	918	194
825	919	193
826	920	192
827	921	191
828	922	190
829	923	189
830	924	188
831	925	186
832	926	185
833	927	184
834	928	183
835	929	182
836	930	181
837	931	180
838	932	179
839	934	177
840	935	176
841	936	175
842	937	174
843	938	173
844	939	172
845	940	171
846	941	170
847	942	169
848	943	167
849	944	166
850	945	165
851	947	164
852	948	163
853	949	162
854	950	161
855	951	160
856	952	158
857	953	157
858	954	156
859	955	155
860	956	154
861	957	153
862	958	152
863	959	151
864	961	149
865	962	148
866	963	147
867	964	146
868	965	145
869	966	144
870	967	143
871	968	142
872	969	141
873	970	139
874	971	138
875	972	137
876	973	136
877	974	135
878	975	134
879	976	133
880	978	132
881	980	131
882	981	130
883	982	128
884	983	127
885	984	126
886	985	125
887	986	124
888	988	123
889	989	122
890	990	121
891	991	120
892	992	118
893	993	117
894	994	116
895	995	115
896	996	114
897	997	113
898	998	112
899	999	111
900	1000	109
901	1001	108
902	1003	107
903	1004	106
904	1005	105
905	1006	104
906	1007	103
907	1009	102
908	1011	101
909	1013	100
910	1015	99
911	1032	99
912	1033	98
913	1034	97
914	1036	96
915	1037	95
916	1040	94
917	1042	93
918	1043	91
919	1045	90
920	1047	89
921	1048	88
922	1049	87
923	1050	86
924	1052	85
925	1054	84
926	1055	83
927	1057	82
928	1059	80
929	1060	79
930	1061	78
931	1062	77
932	1063	76
933	1064	75
934	1066	74
935	1067	72
936	1068	71
937	1070	70
938	1072	69
939	1073	68
940	1074	67
941	1075	66
942	1077	65
943	1078	63
944	1079	62
945	1080	61
946	1081	60
947	1082	59
948	1083	58
949	1084	57
950	1086	55
951	1087	54
952	1088	53
953	1089	52
954	1090	51
955	1091	50
956	1092	49
957	1093	47
958	1094	46
959	1095	45
960	1096	44
961	1098	43
962	1099	42
963	1100	41
964	1102	39
965	1103	38
966	1104	37
967	1105	36
968	1106	35
969	1107	34
970	1108	33
971	1109	31
972	1110	30
973	1111	29
974	1112	28
975	1114	27
976	1114	26
977	1119	25
978	1120	24
979	1122	22
980	1123	21
981	1124	20
982	1125	19
983	1127	18
984	1128	17
985	1129	16
986	1130	14
987	1131	13
988	1133	12
989	1134	11
990	1136	10
991	1137	9
992	1138	8
993	1139	6
994	1140	5
995	1141	4
996	1142	3
997	1143	2
998	1144	1
999	1145	0
